Player,Team,Number,Position,Height,Weight,Last Attended,Country
James Scott,MIA,32.0,F,6-6,180,St. John's (NY),USA
Mike Scott,ATL,1.0,F,6-7,237,Virginia,USA
Ray Scott,DET,31.0,F,6-9,215,Portland,USA
Shawnelle Scott,CLE,36.0,C,6-11,250,St. John's (NY),USA
Trevon Scott,CLE,,F,6-8,225,Cincinnati,USA
Jay Scrubb,LAC,0.0,G,6-5,220,John A. Logan,USA
Carey Scurry,UTA,20.0,F,6-7,188,Long Island-Brooklyn,USA
Dereon Seabron,NOP,0.0,G,6-5,180,North Carolina State,USA
Bruce Seals,OKC,45.0,F,6-8,210,Xavier of Louisiana,USA
Shea Seals,LAL,24.0,G,6-5,210,Tulsa,USA
Malik Sealy,LAC,2.0,G-F,6-8,200,St. John's (NY),USA
Ed Searcy,BOS,32.0,F,6-6,210,St. John's (NY),USA
Ken Sears,NYK,17.0,F,6-9,198,Santa Clara,USA
Wayne See,WAT,,G,6-3,190,Northern Arizona,USA
Thabo Sefolosha,OKC,18.0,F-G,6-6,215,Angelico Biella,Switzerland
Rony Seikaly,MIA,2.0,C,6-11,253,Syracuse,USA
Glen Selbo,SHE,,F,6-3,196,Wisconsin,USA
Josh Selby,MEM,2.0,G,6-2,183,Kansas,USA
Wayne Selden,NYK,14.0,G-F,6-5,230,Kansas,USA
Brad Sellers,CHI,4.0,F,7-0,210,Ohio State,USA
Phil Sellers,DET,11.0,F,6-4,195,Rutgers,USA
Rollie Seltz,AND,,G,5-10,165,Hamline,USA
Frank Selvy,LAL,11.0,G,6-2,180,Furman,USA
Jim Seminoff,BOS,15.0,G,6-2,190,Southern California,USA
Mouhamed Sene,OKC,18.0,C,6-11,230,Verviers-Pepinster,Senegal
George Senesky,GSW,8.0,G,6-2,179,St. Joseph's (PA),USA
Alperen Sengun,HOU,28.0,C,6-11,243,Besiktas,Turkey
Kevin Seraphin,WAS,1.0,F-C,6-10,278,Cholet,France
Ansu Sesay,OKC,5.0,F,6-9,225,Mississippi,USA
Ramon Sessions,CHA,9.0,G,6-3,190,Nevada-Reno,USA
Tom Sewell,WAS,32.0,G,6-5,185,Lamar,USA
Collin Sexton,UTA,2.0,G,6-2,190,Alabama,USA
Paul Seymour,PHI,5.0,G,6-1,180,Toledo,USA
Nick Shaback,CLR,,G,5-11,180,James Monroe HS (NY),USA
Charles Shackleford,BKN,33.0,C,6-11,245,North Carolina State,USA
Carl Shaeffer,INO,,G,6-3,185,Alabama,USA
Lee Shaffer,PHI,22,F,6-7,220,North Carolina,USA
Mustafa Shakur,WAS,22,G,6-4,195,Arizona,USA
Landry Shamet,PHX,14,G,6-4,190,Wichita State,USA
God Shammgod,WAS,2,G,6-0,169,Providence,USA
Earl Shannon,PRO,,G,5-11,170,Rhode Island,USA
Howie Shannon,BOS,8,G,6-2,175,Kansas State,USA
Charlie Share,ATL,13,C,6-11,235,Bowling Green,USA
Bill Sharman,BOS,21,G,6-1,175,Southern California,USA
Day' RonSharpe,BKN,20,C,6-9,265,North Carolina,USA
Shaedon Sharpe,POR,17,G,6-5,200,Kentucky,Canada
Walter Sharpe,DET,42,F,6-9,245,Alabama-Birmingham,USA
John Shasky,MIA,55,C,6-11,235,Minnesota,USA
Ron Shavlik,NYK,16,F,6-8,200,North Carolina State,USA
Brian Shaw,LAL,20,G,6-6,200,California-Santa Barbara,USA
Casey Shaw,PHI,53,C,6-11,255,Toledo,USA
Marial Shayok,PHI,35,G-F,6-5,198,Iowa State,Canada
Bob Shea,PRO,,F,6-2,194,Rhode Island,USA
Fred Sheffield,GSW,4,F,6-2,165,Utah,USA
Craig Shelton,ATL,11,F,6-7,210,Georgetown,USA
Lonnie Shelton,OKC,8,F,6-8,240,Oregon State,USA
Tornike Shengelia,BKN,20,F,6-9,240,Spirou Charleroi,Georgia
Jeff Sheppard,ATL,15,G,6-3,190,Kentucky,USA
Steve Sheppard,CHI,27,F,6-6,215,Maryland,USA
Edmund Sherod,NYK,13,G,6-2,170,Virginia Commonwealth,USA
Charlie Shipp,WAT,,G,6-1,200,Catholic,USA
Paul Shirley,PHX,17,F,6-10,230,Iowa State,USA
Gene Short,NYK,20,F,6-6,200,Jackson State,USA
Purvis Short,GSW,45,F,6-7,210,Jackson State,USA
Dexter Shouse,PHI,14,F,6-2,200,South Alabama,USA
Dick Shrider,NYK,7,G,6-2,190,Ohio,USA
Gene Shue,DET,12,G,6-2,170,Maryland,USA
John Shumate,LAC,34,F,6-9,235,Notre Dame,USA
Iman Shumpert,NYK,1,G,6-5,215,Georgia Tech,USA
Alexey Shved,MIN,1,G,6-6,187,CSKA Moscow,Russia
Pascal Siakam,TOR,43,F,6-8,230,New Mexico State,Cameroon
Jordan Sibert,ATL,8,G,6-4,187,Dayton,USA
Sam Sibert,SAC,25,F,6-7,215,Kentucky State,USA
Mark Sibley,POR,11,G,6-2,175,Northwestern,USA
Jerry Sichting,IND,12,G,6-1,168,Purdue,USA
Larry Siegfried,BOS,20,G,6-3,190,Ohio State,USA
Ralph Siewert,HUS,,,,,Dakota Wesleyan,USA
Jack Sikma,OKC,43,C,6-11,230,Illinois Wesleyan,USA
James Silas,SAS,13,G,6-1,180,Stephen F. Austin,USA
Paul Silas,ATL,36,F,6-7,220,Creighton,USA
Xavier Silas,PHI,9,G,6-5,205,Northern Illinois,USA
Garret Siler,PHX,20,C,6-11,305,Augusta State,USA
Mike Silliman,LAC,4-27,F,6-6,225,Army,USA
Chris Silva,DAL,30,F,6-8,234,South Carolina,Gabon
Wayne Simien,MIA,25,F,6-9,250,Kansas,USA
Ben Simmons,BKN,10.0,G-F,6-10,240,Louisiana State,Australia
Bobby Simmons,LAC,21.0,F,6-6,235,DePaul,USA
Cedric Simmons,NOP,15.0,F,6-9,235,North Carolina State,USA
Connie Simmons,NYK,4.0,C,6-8,222,Flushing HS (NY),USA
Johnny Simmons,BOS,6.0,G,6-1,184,New York University,USA
Jonathon Simmons,SAS,14.0,F,6-6,195,Houston,USA
Kobi Simmons,MEM,23.0,G,6-5,180,Arizona,USA
Lionel Simmons,SAC,22.0,F,6-7,210,La Salle,USA
Miles Simon,ORL,32.0,G,6-3,202,Arizona,USA
Marko Simonovic,CHI,19.0,C,7-0,220,Mega Basket,Montenegro
Anfernee Simons,POR,1.0,G,6-3,181,Edgewater HS (FL),USA
Dickey Simpkins,CHI,8.0,C-F,6-9,255,Providence,USA
Diamon Simpson,HOU,20.0,F,6-7,230,St. Mary's (CA),USA
Ralph Simpson,DET,44.0,G,6-5,200,Michigan State,USA
Zavier Simpson,ORL,9.0,G,6-0,190,Michigan,USA
Alvin Sims,PHX,19.0,G,6-4,235,Louisville,USA
Bob Sims,ATL,12.0,F,6-5,220,Pepperdine,USA
Courtney Sims,IND,44.0,C,6-11,245,Michigan,USA
Doug Sims,SAC,11.0,F,6-7,195,Kent State,USA
Henry Sims,PHI,14.0,C-F,6-10,248,Georgetown,USA
Jericho Sims,NYK,45.0,C,6-10,250,Texas,USA
Scott Sims,SAS,20.0,G,6-1,170,Missouri,USA
Kyle Singler,DET,15.0,F,6-8,228,Duke,USA
Sean Singletary,CHA,44.0,G,6-0,185,Virginia,USA
Chris Singleton,WAS,31.0,F,6-9,228,Florida State,USA
James Singleton,LAC,3.0,F,6-8,230,Murray State,USA
Mckinley Singleton,NYK,26.0,F,6-5,175,Alabama-Birmingham,USA
Zeke Sinicola,DET,5.0,G,5-10,165,Niagara,USA
Deividas Sirvydis,IND,91.0,F-G,6-8,190,Lietuvos rytas Vilnius,Lithuania
Charlie Sitton,DAL,52.0,F,6-8,210,Oregon State,USA
Peyton Siva,DET,34.0,G,6-0,185,Louisville,USA
Scott Skiles,ORL,5.0,G,6-1,180,Michigan State,USA
Al Skinner,BKN,30.0,G,6-3,190,Massachusetts,USA
Brian Skinner,LAC,8.0,F-C,6-9,255,Baylor,USA
Talvin Skinner,OKC,22.0,F,6-5,195,Maryland-Eastern Shore,USA
Whitey Skoog,LAL,20.0,G,5-11,180,Minnesota,USA
Jeff Slade,WAS,34.0,F,6-6,220,Kenyon,USA
Reggie Slater,TOR,35.0,F,6-7,255,Wyoming,USA
Jim Slaughter,BAL,,C,6-11,210,South Carolina,USA
Jose Slaughter,IND,21.0,G,6-5,205,Portland,USA
Tamar Slay,BKN,8.0,G,6-8,215,Marshall,USA
Donald Sloan,IND,15.0,G,6-3,205,Texas A&M,USA
Jerry Sloan,CHI,4.0,G,6-5,195,Evansville,USA
Uros Slokar,TOR,10.0,F,6-10,238,Benetton Treviso,Slovenia
Tom Sluby,DAL,7.0,G,6-4,200,Notre Dame,USA
Alen Smailagic,GSW,6.0,F,6-10,215,Beko,Serbia
Javonte Smart,NOP,15.0,G,6-4,205,Louisiana State,USA
Keith Smart,SAS,3.0,G,6-1,175,Indiana,USA
Marcus Smart,BOS,36.0,G,6-4,220,Oklahoma State,USA
Belus Smawley,BOM,,G,6-1,195,Appalachian State,USA
Jack Smiley,DET,37.0,G,6-3,190,Illinois,USA
Adrian Smith,SAC,10.0,G,6-1,180,Kentucky,USA
Bill Smith,POR,43.0,C,7-0,220,Syracuse,USA
Bill Smith,NYK,,F,6-5,190,St. Peter's,USA
Bingo Smith,CLE,7.0,F,6-5,195,Tulsa,USA
Bobby Smith,LAL,21.0,G,6-4,190,West Virginia,USA
Charles Smith,LAC,54.0,F,6-10,244,Pittsburgh,USA
Charles Smith,SAS,7.0,G,6-4,200,New Mexico,USA
Charles Smith,BOS,,F,6-1,160,Georgetown,USA
Chris Smith,MIN,3.0,G,6-3,190,Connecticut,USA
Chris Smith,NYK,0.0,G,6-2,200,Louisville,USA
Clinton Smith,GSW,22.0,F,6-6,210,Cleveland State,USA
Craig Smith,MIN,83.0,F,6-7,265,Boston College,USA
Deb Smith,BOM,,F,6-3,180,Utah,USA
Derek Smith,LAC,43.0,G,6-6,205,Louisville,USA
Don Smith,PHI,10.0,G,6-0,160,Dayton,USA
Donald Smith,LAL,,F,6-2,190,Minnesota,USA
Donta Smith,ATL,15.0,G,6-7,215,Southeastern Illinois,USA
Doug Smith,DAL,34.0,F,6-10,220,Missouri,USA
Dru Smith,BKN,9.0,G,6-3,203,Missouri,USA
Ed Smith,NYK,14.0,F,6-6,180,Harvard,USA
Elmore Smith,LAL,3.0,C,7-1,250,Kentucky State,USA
Garfield Smith,BOS,33.0,C,6-9,235,Eastern Kentucky,USA
Greg Smith,MIL,4.0,F,6-5,195,Western Kentucky,USA
Greg Smith,HOU,4.0,C,6-10,250,Fresno State,USA
Ish Smith,DEN,14.0,G,6-0,175,Wake Forest,USA
J RSmith,DEN,21.0,G,6-6,220,No College,USA
Jabari Smith,SAC,55.0,C,6-11,250,Louisiana State,USA
Jalen Smith,IND,25.0,F-C,6-9,215,Maryland,USA
Jason Smith,NOP,14.0,F-C,7-0,240,Colorado State,USA
Jerry Smith,BKN,28.0,G,6-2,190,Louisville,USA
Jim Smith,LAC,32.0,F,6-9,225,Ohio State,USA
Joe Smith,MIN,1.0,F-C,6-10,225,Maryland,USA
Josh Smith,ATL,5.0,F,6-9,225,Oak Hill Academy (VA),USA
Keith Smith,MIL,11.0,G,6-3,180,Loyola-Marymount,USA
Kenny Smith,HOU,30.0,G,6-3,170,North Carolina,USA
Labradford Smith,WAS,34.0,F,6-3,200,Louisville,USA
Larry Smith,GSW,2.0,F,6-8,215,Alcorn State,USA
Leon Smith,ATL,35.0,F,6-10,235,Martin Luther King HS (IL),USA
Michael Smith,SAC,34.0,F,6-8,240,Providence,USA
Michael Smith,BOS,,G,6-10,225,Brigham Young,USA
Mike Smith,WAS,40.0,F,6-8,195,Louisiana-Monroe,USA
Nolan Smith,POR,4.0,G,6-2,185,Duke,USA
Otis Smith,ORL,32.0,F,6-5,210,Jacksonville,USA
Phil Smith,GSW,20.0,G,6-4,185,San Francisco,USA
Randy Smith,LAC,7.0,G,6-3,180,Buffalo State,USA
Reggie Smith,POR,54.0,F,6-10,240,TCU,USA
Robert Smith,DEN,10.0,G,5-11,165,UNLV,USA
Russ Smith,MEM,2.0,G,6-0,165,Louisville,USA
Sammy Smith,CHI,28.0,F,6-4,200,UNLV,USA
Steven Smith,ATL,8.0,G-F,6-8,221,Michigan State,USA
Steven Smith,PHI,,F,6-9,250,La Salle,USA
Stevin Smith,DAL,1.0,G,6-2,208,Arizona State,USA
Theron Smith,CHA,0.0,F,6-8,225,Ball State,USA
Tony Smith,LAL,34.0,G,6-4,205,Marquette,USA
Willie Smith,CLE,11.0,G,6-2,170,Missouri,USA
Zhaire Smith,PHI,5.0,G,6-3,205,Texas Tech,USA
Dennis Smith Jr.,CHA,8.0,G,6-2,205,North Carolina State,USA
Jabari Smith Jr.,HOU,1.0,F,6-11,220,Auburn,USA
Rik Smits,IND,45.0,C,7-4,265,Marist,USA
Mike Smrek,LAL,55.0,C,7-0,250,Canisius,USA
Joe Smyth,BAL,,F,6-3,215,Niagara,USA
Xavier Sneed,CHA,19.0,F,6-5,215,Kansas State,USA
Tony Snell,NOP,21.0,G,6-6,213,New Mexico,USA
Eric Snow,PHI,20.0,G,6-3,205,Michigan State,USA
Dick Snyder,OKC,11.0,G,6-5,207,Davidson,USA
Kirk Snyder,NOP,30.0,F-G,6-6,225,Nevada-Reno,USA
George Sobek,SHE,,G,6-0,180,Notre Dame,USA
Ricky Sobers,CHI,14.0,G,6-3,198,UNLV,USA
Ron Sobie,NYK,17.0,G,6-3,185,DePaul,USA
Jeremy Sochan,SAS,10.0,F,6-8,230,Baylor,Poland
Mike Sojourner,ATL,40.0,C,6-9,225,Utah,USA
Will Solomon,MEM,1.0,G,6-1,185,Clemson,USA
Willie Somerset,WAS,24.0,G,5-8,170,Duquesne,USA
Darius Songaila,WAS,25.0,F,6-9,248,Wake Forest,Lithuania
Dave Sorenson,CLE,35.0,F,6-8,225,Ohio State,USA
James Southerland,NOP,31.0,F,6-8,215,Syracuse,USA
Gino Sovran,HUS,,F,6-2,175,Detroit,USA
Pape Sow,TOR,9.0,F,6-10,250,California State-Fullerton,Senegal
Ray Spalding,PHX,26.0,F,6-9,225,Louisville,USA
Jim Spanarkel,DAL,34.0,G,6-5,190,Duke,USA
Vassilis Spanoulis,HOU,10.0,G,6-4,195,Panathinaikos,Greece
Guy Sparrow,NYK,16.0,F,6-6,218,Detroit,USA
Rory Sparrow,NYK,2.0,G,6-2,175,Villanova,USA
Odie Spears,SAC,15.0,F,6-5,205,Western Kentucky,USA
Art Spector,BOS,12.0,F,6-4,200,Villanova,USA
Marreese Speights,GSW,5.0,F-C,6-10,255,Florida,USA
Omari Spellman,GSW,14.0,F,6-8,245,Villanova,USA
Andre Spencer,SAC,20.0,F,6-6,210,Northern Arizona,USA
Elmore Spencer,LAC,27.0,C,7-0,270,UNLV,USA
Felton Spencer,MIN,50.0,C,7-0,290,Louisville,USA
Lou Spicer,PRO,,F,6-2,195,Syracuse,USA
Craig Spitzer,CHI,17.0,C,7-0,225,Tulane,USA
Tiago Splitter,SAS,47.0,C-F,6-11,245,Baskonia,Brazil
Art Spoelstra,SAC,27.0,C,6-9,220,Western Kentucky,USA
Latrell Sprewell,GSW,8.0,G,6-5,195,Alabama,USA
Larry Spriggs,LAL,35.0,F,6-7,230,Howard,USA
Jaden Springer,PHI,11.0,G,6-4,202,Tennessee,USA
Jim Springer,JET,,C,6-9,235,Canterbury,USA
Jim Spruill,JET,,F,6-2,225,Rice,USA
Ryan Stack,CLE,10,F,6-11,215,South Carolina,USA
Jerry Stackhouse,DET,42,F,6-6,218,North Carolina,USA
Kevin Stacom,BOS,20,G,6-3,185,Providence,USA
Dave Stallworth,NYK,9,F,6-7,200,Wichita State,USA
Isaac Stallworth,UTA,15,F,6-5,190,Kansas,USA
Ed Stanczak,AND,19-21,F,6-1,185,Central HS (IN),USA
Cassius Stanley,DET,2,G,6-5,190,Duke,USA
Terence Stansbury,IND,44,G,6-5,170,Temple,USA
John Starks,NYK,9,G,6-5,190,Oklahoma State,USA
Keith Starr,CHI,30,G,6-6,190,Pittsburgh,USA
Nik Stauskas,BOS,13,G,6-6,207,Michigan,Canada
Larry Staverman,SAC,13,F,6-7,205,Thomas More,USA
Larry Steele,POR,15,G,6-5,180,Kentucky,USA
Matt Steigenga,CHI,6,F,6-7,225,Michigan State,USA
Vladimir Stepania,MIA,11,C,7-1,255,Union Olimpija,Georgia
D JStephens,MIL,20,G-F,6-5,188,Memphis,USA
Everette Stephens,IND,7-11,G,6-2,175,Purdue,USA
Jack Stephens,ATL,15,G,6-3,185,Notre Dame,USA
Joe Stephens,MEM,23,F,6-7,210,Arkansas-Little Rock,USA
Lance Stephenson,IND,6,F,6-5,210,Cincinnati,USA
Alex Stepheson,LAC,35,F,6-10,270,Southern California,USA
Brook Steppe,SAC,7,G,6-5,195,Georgia Tech,USA
Barry Stevens,GSW,34,G,6-5,195,Iowa State,USA
Lamar Stevens,CLE,8,F,6-6,230,Penn State,USA
Wayne Stevens,SAC,20,F,6-3,185,Cincinnati,USA
De ShawnStevenson,WAS,92,F-G,6-5,218,Washington Union HS (CA),USA
D JStewart,DAL,18,G,6-5,205,Mississippi State,USA
Dennis Stewart,WAS,40,F,6-6,220,Michigan,USA
Isaiah Stewart,DET,28,F-C,6-8,250,Washington,USA
Kebu Stewart,PHI,41,F,6-8,239,California State-Bakersfield,USA
Larry Stewart,WAS,23,F,6-8,230,Coppin State,USA
Michael Stewart,TOR,44,C,6-10,230,California,USA
Norm Stewart,ATL,22,F,6-5,205,Missouri,USA
Greg Stiemsma,MIN,34,C,6-11,260,Wisconsin,USA
Steve Stipanovich,IND,40,C,6-11,245,Missouri,USA
Bryant Stith,DEN,23,G,6-5,210,Virginia,USA
Sam Stith,NYK,17,G,6-2,185,St. Bonaventure,USA
Tom Stith,NYK,8,F,6-5,210,St. Bonaventure,USA
Alex Stivrins,PHX,11,F,6-8,220,Colorado,USA
David Stockton,LAL,5,G,5-11,165,Gonzaga,USA
John Stockton,UTA,12,G,6-1,175,Gonzaga,USA
Peja Stojakovic,SAC,16,F,6-10,229,PAOK,Serbia
Ed Stokes,TOR,40,C,7-0,264,Arizona,USA
Greg Stokes,PHI,41,F,6-10,220,Iowa,USA
Jarnell Stokes,MEM,1,F-C,6-9,263,Tennessee,USA
Maurice Stokes,SAC,12,F,6-7,232,St. Francis (PA),USA
Art Stolkey,DEF,,G,6-1,180,Detroit,USA
Diamond Stone,LAC,0,C,6-11,255,Maryland,USA
Julyan Stone,DEN,32,G,6-6,200,Texas-El Paso,USA
Awvee Storey,MIL,20,F-G,6-6,225,Arizona State,USA
Damon Stoudamire,POR,3.0,G,5-10,171,Arizona,USA
Salim Stoudamire,ATL,20.0,G,6-1,175,Arizona,USA
Amar'e Stoudemire,NYK,5.0,F-C,6-10,245,Cypress Creek HS (FL),USA
Paul Stovall,PHX,23.0,F,6-4,215,Arizona State,USA
D JStrawberry,PHX,8.0,G,6-5,201,Maryland,USA
Joe Strawder,DET,16.0,C,6-10,235,Bradley,USA
Bill Stricker,POR,34.0,F,6-8,210,Pacific,USA
Erick Strickland,DAL,20.0,G,6-3,218,Nebraska,USA
Mark Strickland,MIA,30.0,F,6-10,220,Temple,USA
Rod Strickland,POR,1.0,G,6-3,185,DePaul,USA
Roger Strickland,WAS,16.0,F,6-5,200,Jacksonville,USA
John Stroeder,MIL,25.0,F,6-10,260,Montana,USA
Derek Strong,ORL,30.0,F,6-9,240,Xavier,USA
Lamont Strothers,DAL,10.0,G,6-4,190,Christopher Newport,USA
John Stroud,HOU,42.0,F,6-7,215,Mississippi,USA
Max Strus,MIA,31.0,G-F,6-5,215,DePaul,USA
Rodney Stuckey,DET,2.0,G,6-5,205,Eastern Washington,USA
Gene Stump,BOS,13.0,F,6-2,185,DePaul,USA
Stan Stutz,NYK,7.0,G,5-10,170,Rhode Island,USA
Jalen Suggs,ORL,4.0,G,6-5,205,Gonzaga,USA
Gary Suiter,CLE,40.0,C,6-9,225,Midwestern State,USA
Jared Sullinger,BOS,7.0,C-F,6-9,260,Ohio State,USA
Da JuanSummers,DET,35.0,F,6-8,240,Georgetown,USA
Edmond Sumner,BKN,4.0,G,6-4,196,Xavier,USA
Barry Sumpter,LAC,51.0,F,6-11,215,Austin Peay,USA
Yue Sun,LAL,9.0,G,6-9,205,Beijing,China
Don Sunderlage,ATL,18.0,G,6-1,180,Illinois,USA
Bruno Sundov,IND,14.0,C,7-2,260,Split,Croatia
Jon Sundvold,SAS,20.0,G,6-2,170,Missouri,USA
Bob Sura,CLE,3.0,G,6-5,200,Florida State,USA
Dick Surhoff,ATL,6.0,F,6-4,210,Long Island-Brooklyn,USA
Dane Suttle,SAC,2.0,G,6-3,190,Pepperdine,USA
Greg Sutton,CHA,20.0,G,6-2,185,Oral Roberts,USA
Bennie Swain,BOS,16.0,F,6-8,220,Texas Southern,USA
Caleb Swanigan,POR,50.0,F,6-9,260,Purdue,USA
Norm Swanson,SAC,12.0,F,6-6,210,Detroit,USA
Dan Swartz,BOS,12.0,F,6-4,215,Morehead State,USA
Michael Sweetney,NYK,50.0,F,6-8,270,Georgetown,USA
Cole Swider,LAL,20.0,F,6-9,220,Syracuse,USA
Robert Swift,OKC,31.0,C,7-1,270,Bakersfield HS (CA),USA
Stromile Swift,MEM,4.0,F-C,6-10,220,Louisiana State,USA
Aaron Swinson,PHX,4.0,F,6-5,230,Auburn,USA
Craig Sword,WAS,,G,6-3,196,Mississippi State,USA
Pape Sy,ATL,19.0,F-G,6-7,225,Le Havre,France
Wallace Sydnor,CHS,,G,5-10,175,Western Kentucky,USA
Keifer Sykes,IND,28.0,G,5-11,167,Wisconsin-Green Bay,USA
Larry Sykes,BOS,54.0,F,6-9,255,Xavier,USA
Brett Szabo,BOS,43.0,C,6-11,230,Augustana (SD),USA
Wally Szczerbiak,MIN,10.0,G-F,6-7,240,Miami (Ohio),USA
Zan Tabak,TOR,55.0,C,7-0,257,Olimpia Milano,Croatia
Yuta Tabuse,PHX,1.0,G,5-9,165,Brigham Young-Hawaii,USA
Chris Taft,GSW,21.0,F,6-10,261,Pittsburgh,USA
Sid Tannenbaum,NYK,6.0,G,6-0,160,New York University,USA
Dragan Tarlac,CHI,12.0,C-F,6-11,270,Olympiacos,Serbia
Roy Tarpley,DAL,42.0,F,7-0,230,Michigan,USA
Jae' SeanTate,HOU,8.0,F,6-5,230,Ohio State,USA
Earl Tatum,LAL,43.0,G,6-4,185,Marquette,USA
Jayson Tatum,BOS,0.0,F-G,6-8,210,Duke,USA
Edy Tavares,ATL,40.0,C,7-3,265,Gran Canaria,Cabo Verde
Anthony Taylor,MIA,3.0,G,6-4,175,Oregon,USA
Brian Taylor,LAC,14.0,G,6-2,185,Princeton,USA
Donell Taylor,WAS,21.0,G,6-5,193,Alabama-Birmingham,USA
Fred Taylor,PHX,23.0,G,6-5,180,Texas-Pan American,USA
Isaiah Taylor,ATL,22.0,G,6-3,170,Texas-Austin,USA
Jay Taylor,BKN,24.0,F,6-3,190,Eastern Illinois,USA
Jeff Taylor,HOU,,G,6-4,175,Texas Tech,USA
Jeffery Taylor,CHA,44.0,F,6-7,225,Vanderbilt,Sweden
Jermaine Taylor,HOU,8.0,G,6-4,210,Central Florida,USA
Johnny Taylor,DEN,23.0,F,6-9,220,Tennessee-Chattanooga,USA
Leonard Taylor,GSW,44.0,F,6-8,220,California,USA
Maurice Taylor,HOU,2.0,F,6-9,265,Michigan,USA
Mike Taylor,LAC,4.0,G,6-2,165,Iowa State,USA
Roland Taylor,DEN,,G,6-0,175,La Salle,USA
Terry Taylor,CHI,32.0,F,6-4,230,Austin Peay,USA
Tyshawn Taylor,BKN,41.0,G,6-3,185,Kansas,USA
Vince Taylor,NYK,8.0,G,6-5,180,Duke,USA
Terry Teagle,GSW,10.0,G,6-5,195,Baylor,USA
Jeff Teague,ATL,5.0,G,6-3,195,Wake Forest,USA
Marquis Teague,CHI,20.0,G,6-2,189,Kentucky,USA
Mirza Teletovic,BKN,35.0,F,6-9,245,Baskonia,Bosnia and Herzegovina
Sebastian Telfair,MIN,13.0,G,6-0,170,Abraham Lincoln HS (NY),USA
Garrett Temple,NOP,41.0,G-F,6-6,195,Louisiana State,USA
Milos Teodosic,LAC,4.0,G,6-5,196,CSKA Moscow,Serbia
Ira Terrell,PHX,34.0,F,6-8,200,Southern Methodist,USA
Jared Terrell,MIN,3.0,G,6-3,227,Rhode Island,USA
Carlos Terry,WAS,12.0,G,6-4,210,Winston-Salem State,USA
Chuck Terry,MIL,12.0,G,6-6,215,Long Beach State,USA
Claude Terry,ATL,12.0,G,6-5,195,Stanford,USA
Dalen Terry,CHI,25.0,F,6-7,195,Arizona,USA
Emanuel Terry,PHX,10.0,F,6-9,220,Lincoln Memorial,USA
Jason Terry,DAL,3.0,G,6-2,185,Arizona,USA
Tyrell Terry,MEM,3.0,G,6-2,160,Stanford,USA
Jon Teske,MEM,15.0,C,7-1,265,Michigan,USA
Hasheem Thabeet,MEM,34.0,C,7-3,263,Connecticut,Tanzania
Tom Thacker,SAC,12.0,G,6-2,170,Cincinnati,USA
Daniel Theis,IND,27.0,F-C,6-8,245,Brose Bamberg,Germany
Reggie Theus,CHI,24.0,G,6-6,190,UNLV,USA
Peter Thibeaux,GSW,7.0,F,6-7,210,St. Mary's (CA),USA
Bill Thieben,DET,9.0,F,6-6,215,Hofstra,USA
Justus Thigpen,DET,23.0,G,6-1,160,Weber State,USA
David Thirdkill,BOS,45.0,F,6-7,195,Bradley,USA
Adonis Thomas,ORL,7.0,G-F,6-7,240,Memphis,USA
Billy Thomas,BKN,12.0,G,6-5,220,Kansas,USA
Brodric Thomas,BOS,97.0,G,6-5,185,-,USA
Cam Thomas,BKN,24.0,G,6-3,210,Louisiana State,Japan
Carl Thomas,CLE,30.0,G,6-4,195,Eastern Michigan,USA
Charles Thomas,DET,14.0,G,6-3,175,Eastern Michigan,USA
Etan Thomas,WAS,36.0,C,6-10,260,Syracuse,USA
Irving Thomas,LAL,30.0,F,6-8,225,Florida State,USA
Isaiah Thomas,CHA,4.0,G,5-9,185,Washington,USA
Isiah Thomas,DET,11.0,G,6-1,180,Indiana,USA
Jamel Thomas,BKN,5.0,F,6-6,219,Providence,USA
James Thomas,PHI,,F,6-9,245,Texas-Austin,USA
Jim Thomas,IND,20.0,G,6-3,190,Indiana,USA
Joe Thomas,PHX,40.0,F,6-6,205,Marquette,USA
John Thomas,TOR,41.0,C,6-9,265,Minnesota,USA
Kenny Thomas,HOU,9.0,F,6-7,245,New Mexico,USA
Khyri Thomas,DET,13.0,G,6-3,210,Creighton,USA
Kurt Thomas,NYK,40.0,C-F,6-9,230,TCU,USA
Lance Thomas,NYK,42.0,F,6-8,225,Duke,USA
Malcolm Thomas,PHI,22.0,F,6-9,225,San Diego State,USA
Matt Thomas,CHI,21.0,G,6-3,190,Iowa State,USA
Terry Thomas,DET,50.0,F,6-8,220,Detroit,USA
Tim Thomas,MIL,7.0,F,6-10,240,Villanova,USA
Tyrus Thomas,CHI,12.0,F,6-10,225,Louisiana State,USA
Trey Thompkins,LAC,33.0,F,6-10,245,Georgia,USA
Bernard Thompson,PHX,25.0,G,6-6,210,Fresno State,USA
Billy Thompson,MIA,55.0,F,6-7,195,Louisville,USA
Brooks Thompson,ORL,6.0,G,6-4,193,Oklahoma State,USA
Corny Thompson,DAL,25.0,F,6-8,225,Connecticut,USA
David Thompson,DEN,33.0,G,6-4,195,North Carolina State,USA
Dijon Thompson,PHX,,G-F,6-8,200,UCLA,USA
George Thompson,MIL,24.0,G,6-2,200,Marquette,USA
Hollis Thompson,PHI,31.0,G-F,6-8,206,Georgetown,USA
Jason Thompson,SAC,1.0,F-C,6-11,250,Rider,USA
John Thompson,BOS,5.0,F,6-10,225,Providence,USA
