Player,Team,Number,Position,Height,Weight,Last Attended,Country
Dragan Bender,PHX,35,F,7-1,225,Maccabi Tel Aviv,Croatia
Jonathan Bender,IND,9,F,7-0,230,Picayune HS (MS),USA
Jerrelle Benimon,UTA,,,,,Towson,USA
Benoit Benjamin,LAC,00,C,7-0,265,Creighton,USA
Corey Benjamin,CHI,25,G,6-6,205,Oregon State,USA
Anthony Bennett,MIN,24,F,6-8,245,UNLV,Canada
Elmer Bennett,PHI,5,G,6-0,170,Notre Dame,USA
Mario Bennett,LAL,24,C-F,6-9,235,Arizona State,USA
Mel Bennett,IND,52,F,6-7,200,Pittsburgh,USA
Tony Bennett,CHA,25,G,6-0,175,Wisconsin-Green Bay,USA
Winston Bennett,CLE,30,G,6-7,210,Kentucky,USA
David Benoit,UTA,21,F,6-8,220,Alabama,USA
Keith Benson,GSW,34,F-C,6-11,240,Oakland,USA
Kent Benson,DET,54,C,6-11,235,Indiana,USA
Ben Bentil,DAL,42,F,6-9,235,Providence,Ghana
Gene Berce,ATL,,G,5-11,175,Marquette,USA
Gary Bergen,NYK,18,C,6-8,210,Utah,USA
Ricky Berry,SAC,34,F,6-8,205,San Jose State,USA
Walter Berry,SAS,6,F,6-8,215,St. John's (NY),USA
Dairis Bertans,NOP,9,G,6-4,200,Olimpia Milano,Latvia
Davis Bertans,DAL,44,F,6-10,225,Baskonia,Latvia
Del Beshore,CHI,1,G,5-11,165,California (PA),USA
Travis Best,IND,6,G,5-11,182,Georgia Tech,USA
Patrick Beverley,CHI,21,G,6-2,180,Arkansas,USA
Saddiq Bey,ATL,41,F,6-7,215,Villanova,USA
Tyler Bey,HOU,2,F,6-7,215,Colorado,USA
Sim Bhullar,SAC,32,C,7-5,360,New Mexico State,Canada
Al Bianchi,PHI,24,G,6-3,185,Bowling Green,USA
Hank Biasatti,HUS,,G,5-11,175,Assumption,Canada
Henry Bibby,PHI,10-15,G,6-1,185,UCLA,USA
Mike Bibby,SAC,20,G,6-2,195,Arizona,USA
Ed Biedenbach,PHX,12,G,6-1,175,North Carolina State,USA
Andris Biedrins,GSW,15,C,7-0,242,BK Skonto,Latvia
Don Bielke,DET,18,C,6-7,240,Valparaiso,USA
Bob Bigelow,SAC,32,F,6-7,215,Pennsylvania,USA
Chauncey Billups,DET,1,G,6-3,210,Colorado,USA
Dave Bing,DET,21,G,6-3,180,Syracuse,USA
Joe Binion,POR,50,F,6-8,235,North Carolina A&T,USA
Khem Birch,SAS,24,C,6-8,233,UNLV,Canada
Jabari Bird,BOS,26,G,6-6,198,California,USA
Jerry Bird,NYK,7,F,6-6,210,Kentucky,USA
Larry Bird,BOS,33,F,6-9,220,Indiana State,USA
Otis Birdsong,BKN,12,G,6-3,190,Houston,USA
Gale Bishop,GSW,11,F,6-3,195,Washington State,USA
Goga Bitadze,ORL,88,C-F,6-11,250,Mega Basket,Georgia
Bismack Biyombo,PHX,18,C,6-8,255,Baloncesto Fuenlabrada,DRC
Nemanja Bjelica,GSW,8,F,6-9,234,Fenerbahce,Serbia
Uwe Blab,DAL,33,C,7-1,252,Indiana,USA
Charlie Black,DET,21,F,6-4,200,Kansas,USA
Norman Black,DET,,G,6-5,185,St. Joseph's (PA),USA
Tarik Black,LAL,28.0,F-C,6-9,250,Kansas,USA
Tom Black,OKC,24.0,C,6-10,220,South Dakota State,USA
Rolando Blackman,DAL,22.0,G,6-6,190,Kansas State,USA
Alex Blackwell,LAL,30.0,F,6-6,250,Monmouth,USA
Cory Blackwell,OKC,30.0,F,6-6,210,Wisconsin,USA
James Blackwell,BOS,8.0,G,6-0,190,Dartmouth,USA
Nate Blackwell,SAS,3.0,G,6-4,170,Temple,USA
De JuanBlair,SAS,45.0,C-F,6-7,270,Pittsburgh,USA
Steve Blake,POR,22.0,G,6-3,172,Maryland,USA
Marqus Blakely,HOU,15.0,F,6-5,225,Vermont,USA
Antonio Blakeney,CHI,9.0,G,6-4,192,Louisiana State,USA
Will Blalock,DET,8.0,G,6-0,205,Iowa State,USA
George Blaney,NYK,15.0,G,6-1,175,Holy Cross,USA
Lance Blanks,DET,21.0,G,6-4,190,Texas-Austin,USA
Ricky Blanton,CHI,17.0,F,6-7,215,Louisiana State,USA
Andray Blatche,WAS,0.0,C-F,6-11,260,South Kent HS (CT),USA
Mookie Blaylock,ATL,10.0,G,6-1,185,Oklahoma,USA
Eric Bledsoe,POR,5.0,G,6-1,214,Kentucky,USA
Keljin Blevins,POR,21.0,G,6-4,200,Montana State,USA
Leon Blevins,INO,,G,6-2,160,Arizona,USA
John Block,HOU,35.0,F,6-10,207,Southern California,USA
Mike Bloom,BAL,11.0,C,6-6,190,Temple,USA
Jaron Blossomgame,CLE,4.0,F,6-8,220,Clemson,USA
Corie Blount,CHI,44.0,F-C,6-10,242,Cincinnati,USA
Mark Blount,BOS,15.0,C-F,7-0,250,Pittsburgh,USA
Vander Blue,BOS,12.0,G,6-4,200,Marquette,USA
Trevon Bluiett,UTA,5.0,G-F,6-6,198,Xavier,USA
Ray Blume,CHI,22.0,G,6-4,185,Oregon State,USA
Nelson Bobb,GSW,5.0,G,6-0,170,Temple,USA
Tony Bobbitt,LAL,15.0,G,6-4,190,Cincinnati,USA
Arlen Bockhorn,SAC,11.0,G,6-4,200,Dayton,USA
Buddy Boeheim,DET,27.0,F,6-6,205,Syracuse,USA
Tom Boerwinkle,CHI,18.0,C,7-0,265,Tennessee,USA
Keith Bogans,ORL,4.0,G-F,6-5,215,Kentucky,USA
Bogdan Bogdanovic,ATL,13.0,G,6-5,225,Fenerbahce,Serbia
